scientificName,decimalLatitude,decimalLongitude,year,minimumDepthInMeters,maximumDepthInMeters,aphiaID,id,depth
Acanthephyra acanthitelsonis,11.75,-65.5500030518,1973,1000,1000,240809,bb5c517f-db34-4bfd-915a-eae378144cf6,1000
Acanthephyra acanthitelsonis,23.0369167328,-82.928817749,NA,1000,4000,240809,bbbcbe7f-0b01-4e3e-ad9d-70dcf53984c1,2500
Acanthephyra acanthitelsonis,-23.2019,8.3504,2008,1150,1159,240809,c0942902-9c5c-4e0c-9aeb-943051b281b4,1154.5
Acanthephyra acanthitelsonis,1.20000004768,-44.6500015259,1966,370,410,240809,c3d66dbe-3c60-4bfa-ae48-2e4bf9ee3689,390
Acanthephyra acanthitelsonis,16.4500007629,-22.283000946,1970,705,765,240809,c5161174-567a-4997-aeaa-8ef42f8ea045,735
Acanthephyra acanthitelsonis,-12.7829999924,8.36699962616,1971,120,125,240809,c5a39300-59cb-4a2c-a7a8-dac6019e816e,122.5
Acanthephyra acanthitelsonis,-5,8,2003,3956,3956,240809,c6b03f38-5a21-4c88-b5f5-cffe121a024b,3956
Acanthephyra acanthitelsonis,17.8924999237,-25.3791503906,1969,700,785,240809,c6c9172d-d492-4d98-9745-420868b58f64,742.5
Acanthephyra acanthitelsonis,17.6516504288,-27.0833501816,1969,0,1000,240809,c6cee6c7-8852-4f64-b885-7a53a8f71f78,500
Acanthephyra acanthitelsonis,9.60000038147,-40.6170005798,1966,250,280,240809,c8e005c7-4cbd-4913-9c19-21203669c006,265
Acanthephyra acanthitelsonis,11,-40.1669998169,1973,500,0,240809,cd9a51af-9a74-4494-8ce8-26715710e7aa,250
Acanthephyra acanthitelsonis,24.06275177,-86.5610198975,NA,1000,4000,240809,d07ecc73-baef-4640-85d3-ef55b92bcb91,2500
Acanthephyra acanthitelsonis,8.98299980164,-53.0830001831,1973,480,0,240809,d08a919e-7c49-416f-8738-3ca7cd000c70,240
Acanthephyra acanthitelsonis,10.9116501808,-19.8541507721,1968,505,600,240809,d1c7b296-448a-47fb-96f3-84e059ba97a6,552.5
Acanthephyra acanthitelsonis,-2.632999897,-28.783000946,1963,1100,1100,240809,d348470b-c455-443f-a00d-28a4fb061a21,1100
Acanthephyra acanthitelsonis,-25.4466,6.1255,2009,880,883,240809,d57db523-4239-4d8d-8a52-aa69f397d56f,881.5
Acanthephyra acanthitelsonis,-12.8500003815,8.25,1971,390,400,240809,d6526fe5-e324-40c3-ad9e-7872a9083644,395
Acanthephyra acanthitelsonis,10.8192000389,-19.9416503906,1968,900,1040,240809,dab37854-b22c-45b5-b8ed-9aad96162b84,970
Acanthephyra acanthitelsonis,16.2329998016,-20.7329998016,1970,600,650,240809,dc749942-3f73-4c61-b552-e29777c2f185,625
Acanthephyra acanthitelsonis,17.8350000381,-25.3675003052,1969,800,890,240809,dd704520-b004-4a6f-b129-c84ae12d42a8,845
Acanthephyra acanthitelsonis,-23.0833,12.6833,1984,1193,1193,240809,e14f79eb-b869-4bd1-9d07-ff532f78d6e7,1193
Acanthephyra acanthitelsonis,-15.9829998016,2.03299999237,1971,280,290,240809,e38a7718-8247-4905-81d9-84b3a8ed9d76,285
Acanthephyra acanthitelsonis,25.3928375244,-91.13331604,NA,1000,4000,240809,e833c313-0645-47c8-9029-0f4fd822bb9c,2500
Acanthephyra acanthitelsonis,-5,11.3666666667,NA,704,704,240809,ea2462a1-de54-4686-89d4-cbc78bf276e9,704
Acanthephyra acanthitelsonis,13.3283500671,-25.5758008957,1972,10,1000,240809,ed5b70d6-05d1-4dc5-aec0-bcc758c668ab,505
Acanthephyra acanthitelsonis,-28.8667,14.1833,1984,915,915,240809,f0171e14-2f51-4c0d-9702-dd5425b48401,915
Acanthephyra acanthitelsonis,16.6949996948,-26.6308498383,1972,10,1000,240809,f05c5fe0-1ea7-4bae-b36c-a82e5416eeda,505
Acanthephyra acanthitelsonis,-24.6904,6.4112,2008,902,910,240809,f06ea517-6b26-4b08-a42c-ab7efb75cd51,906
Acanthephyra acanthitelsonis,11.1424999237,-19.829199791,1968,910,985,240809,f13591b1-6961-420c-9c54-45fbbf85cb9e,947.5
Acanthephyra acanthitelsonis,9.05000019073,-51.0830001831,1973,510,0,240809,f15c30fe-3852-4217-9a85-f133cd89c5b0,255
